Timestamp,hear_ccm_website,hear_social_media,hear_community_event,hear_family_friend,hear_ccm_student,hear_ccm_alumni,hear_hs_teacher,hear_hs_counselor,hear_inapp_ad,hear_employer,hear_billboard,hear_tv,hear_radio,hear_other,impact_affordable_cost,impact_location,impact_program_choice,impact_online_offerings,impact_referral,impact_faculty_staff,impact_reputation,impact_financial_aid,impact_scholarships,impact_small_classes,impact_extracurricular,impact_transfer_credits,impact_negative_exp,impact_njstars,impact_transferability,impact_hs_college_credit,"Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Open House]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Instant Decision Day]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [On-Campus Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Virtual Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Women Who Dare]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Regional College Fair]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [HS Sharetime Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Challenger Program]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [CyberSecurity Information Protection Program Participation ]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Information Session at my high school]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Campus Visit with my high school]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Campus Visit (individual)]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Workforce Development class]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Corporate Training]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Teen Arts Festival]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Summer camp at CCM]",exp_hs_class,exp_hs_club,exp_competition,exp_afterschool_program,exp_summer_camp,exp_ap_class,exp_dual_enrollment,exp_family_friend_influence,exp_family_in_field,exp_teacher_counselor,exp_employer_influence,exp_ccm_student,exp_work_experience,exp_other,degree_program,What motivated you to seek a computing degree/certificate at CCM? (check all that apply),source_hs_counselor,source_hs_teacher,source_it_website,source_admissions,source_advisor,source_employer,source_ccm_workforce,source_nj_workforce,source_other,interest_level,Race/ethnicity,Age 
2020/09/13 4:09:45 PM EST,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,,Some Impact,,,,Yes,Yes,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,,,,,,,,,,,,No Impact,,,Undecided,,,,,,,,,,,5.0,Hispanic or Latino,21-24
2020/09/13 7:10:44 PM EST,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Yes,Not Sure,Yes,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,Yes,No,Yes,Yes,Yes,No,No,No,No,,White/Caucasian,19-20
2020/09/13 7:23:30 PM EST,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,,,,,,,,,,,,,"Computer Science, Associate of Science",Transfer to bachelor's level program;Career Advancement;To keep current in tech industry,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,Hispanic or Latino,25-34
2020/09/13 7:24:44 PM EST,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;IT Industry Certifications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Asian,19-20
2020/09/14 10:46:57 AM EST,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field,No,No,No,No,Yes,No,No,No,No,,Choose not to reply,19-20
2020/09/14 11:49:10 AM EST,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineer Tech,,,,,,,,,,,3.0,White/Caucasian,21-24
2020/09/14 1:05:34 PM EST,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,,,,,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Career Advancement;Financial;Personal Enrichment,No,Yes,No,No,No,No,No,No,No,,Hispanic or Latino,18 and younger
2020/09/14 1:05:38 PM EST,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,"CIS Game Development Option, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Professional Development;To keep current in tech industry;Personal Enrichment,No,No,Yes,No,No,No,No,No,No,,White/Caucasian,19-20
2020/09/14 1:06:31 PM EST,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Mechanical Engineering Technology ,,,,,,,,,,,4.0,Hispanic or Latino,18 and younger
2020/09/14 1:07:23 PM EST,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Financial,No,No,No,No,No,No,No,No,No,,American Indian/Native American/Alaska Native,25-34
